"","X","Country","Technology","Project.Name","Sub.sector","Capacity","Capacity.Unit","Region","Time","EmiF","EmUnits","EmCite","h","mean_ut","sd_ut","UtCite","GtC","generation.TW"
"64",237,"Turkey","Hydro","Cetin Hydroelectric Power Plant","Electricity generation",517,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.335272793,4.27e-17,"WRI",0,1.51842365767356
"65",47,"China","Solar","Changsha City Gaoling International Trade Center Distributed Roof Solar Power Plant","Electricity generation",6,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.01019664
"66",129,"India","Solar","Charanka solar based power unit (15 MW) ","Electricity Generation",15,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.0291104962038
"67",115,"Honduras","Wind","Chinchayote Wind Farm","Electricity generation",28,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.360585635,NA,"WRI",0,0.0884444445528
"68",77,"China","Wind","Concord NE","Electricity generation",200,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.349421406,2.39e-17,"WRI",0,0.612186303312
"69",56,"China","Solar","Dai County Baotong Xinzhou City 40MW Solar Power Plant","Electricity generation",33,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.05608152
"70",207,"Pakistan","Hydro","Dasu Hydropower Stage 1 Project","Electricity Generation",2160,"MW","South Asia",NA,0,NA,NA,8760,0.44904266,4.24e-17,"WRI",0,8.496605595456
"71",33,"Brazil","Wind","Delta 3 Wind Park","Electricity generation",220.8,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.135367997,1.61e-17,"WRI",0,0.261829862741376
"72",105,"Egypt, Arab Rep.","Solar","Delta Solar PV Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"73",123,"India","Solar","Divine Solren Solar park","Electricity generation",47.5,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.0921832379787
"74",222,"Serbia","Wind","Dolovo Cibuk I Wind Farm","Electricity generation",158.4,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.335,NA,"IEA",0,0.46484064
"75",184,"Mexico","Solar","Don Jose Solar Farm","Electricity generation",238,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.15,0,"NREL",0,0.312732
"76",169,"Lao PDR","Hydro","Don Sahong Hydropower","Electricity generation",260,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.979368
"77",98,"Egypt, Arab Rep.","Solar","EDF EN Benban PV plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"78",236,"Turkey","Geothermal","Efeler Geothermal plant expansion","Electricity generation",19.8,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.562214612,3.51e-17,"WRI",0,0.097515000022176
"79",157,"Jamaica","Solar","Eight Rivers Energy","Electricity generation",50,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"80",197,"Namibia","Solar","Ejuva One and Ejuva Two Solar Plants","Electricity generation",27.3,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.03826368
"81",14,"Argentina","Wind","El Corti Wind Farm","Electricity generation",98.6,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.393675989,5.29e-17,"WRI",0,0.340032124034904
"82",189,"Mexico","Wind","El Cortijo wind farm","Electricity generation",168,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.462289919,3.82e-17,"WRI",0,0.68034282799392
"83",187,"Mexico","Wind","El Mezquite Wind Farm","Electricity generation",250,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.462289919,3.82e-17,"WRI",0,1.01241492261
"84",99,"Egypt, Arab Rep.","Solar","Elsewedy Benban Solar Plant","Electricity generation",30,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.042048
"85",120,"India","Solar","Essel Jalgaon Solar Plant","Electricity generation",10,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.0194069974692
"86",12,"Argentina","Solar","Fiambala, Saujil and Tinogasta solar  parks","Electricity generation",20,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.570776256,1.11e-16,"WRI",0,0.1000000000512
"87",112,"Guinea","Hydro","Fomi multi-purpose dam","Electricity Generation",90,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.339012
"88",132,"India","Solar","FRV Andhra Pradesh Solar Farm I","Electricity generation",24,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.04657679392608
"89",131,"India","Solar","FRV India Solar Park II","Electricity generation",50,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.097034987346
"90",217,"Samoa","Hydro","Fuluasou small hydropower plant (700 kW)","Electricity Generation",0.7,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.00263676
"91",81,"Djibouti","Geothermal","Gale-Le-Koma geothermal project","Electricity Generation",15,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.732,NA,"EIA",0,0.0961848
"92",80,"Côte d'Ivoire","Hydro","Gribo-Popoli hydropower","Electricity Generation",112,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.4218816
"93",179,"Mexico","Solar","Hermosillo Solar Plant","Electricity generation",105,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.15,0,"NREL",0,0.13797
"94",83,"Ecuador","Hydro","Hidronormandia Plant","Electricity generation",46.2,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.401924478,5.23e-17,"WRI",0,0.162663659340336
"95",93,"Egypt, Arab Rep.","Solar","Horus Solar PV Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"96",94,"Egypt, Arab Rep.","Solar","Infinity Solar Portfolio","Electricity generation",100,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.14016
"97",44,"China","Hydro","Inner Mongolia Zhirui Pumped Storage Power Station","Electricity Generation",1200,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.469064284,4.27e-17,"WRI",0,4.930803753408
"98",153,"Iran, Islamic Rep.","Solar","Jajarm Solar Park","Electricity generation",35,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.049056
"99",185,"Mexico","Solar","Jalisco Solar 1","Electricity generation",8,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.15,0,"NREL",0,0.010512
"100",138,"India","Wind","Janardan Wind Energy","Electricity generation",10,"MW","South Asia",NA,0,NA,NA,8760,0.2414375,0.026281454,"Kar 2015",0,0.021149925
"101",64,"China","Solar","Jinko Power Huancheng 100MW Solar Power Plant","Electricity generation",100,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.169944
"102",48,"China","Solar","Jinkopower Pingding County 100MW Solar Power Plant","Electricity generation",49.6,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.084292224
"103",170,"Madagascar","Hydro","Jirama Andekaleka Hydro Expansion","Electricity Generation",33,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.1243044
"104",2,"Afghanistan","Solar","Kabul Solar Plant","Electricity Generation",20,"MW","South Asia",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.028032
"105",1,"Afghanistan","Hydro","Kamal Khan Dam Phase 3","Electricity Generation",8.5,"MW","South Asia",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.0320178
"106",3,"Afghanistan","Solar","Kandahar Solar Plant","Electricity generation",10,"MW","South Asia",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.014016
"107",242,"Zimbabwe","Hydro","Kariba South Hydro & Hwange Thermal Power Plant Portfolio Rehabilitation Project","Electricity Generation",980,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.826636225,NA,"WRI",0,7.09650666438
"108",139,"India","Wind","Karnataka Wind Farm","Electricity generation",50,"MW","South Asia",NA,0,NA,NA,8760,0.2414375,0.026281454,"Kar 2015",0,0.105749625
"109",205,"Pakistan","Hydro","Karot Hydropower Plant","Electricity generation",720,"MW","South Asia",NA,0,NA,NA,8760,0.44904266,4.24e-17,"WRI",0,2.832201865152
"110",165,"Kenya","Hydro","Kenyan Hydro Portfolio (16MW) IFC Facility","Electricity Generation",16,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.48121992,4.2e-17,"WRI",0,0.0674477839872
"111",7,"Argentina","Hydro","Kirchner-Cepernic Hydropower Complex 1740 MW","Electricity Generation",1740,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.472022821,4.27e-17,"WRI",0,7.1947606468104
"112",95,"Egypt, Arab Rep.","Solar","Kom Ombo solar power project","Electricity Generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"113",223,"Serbia","Wind","Kosava Wind Farm Phase I","Electricity generation",69,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.335,NA,"IEA",0,0.2024874
"114",220,"Serbia","Hydro","Kostolac wind farm ","Electricity Generation",66,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.554870942,6.41e-17,"WRI",0,0.32080418382672
"115",224,"Serbia","Wind","Kovacica Wind Farm","Electricity generation",104.5,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.335,NA,"IEA",0,0.3066657
"116",117,"India","Nuclear","Kudankulam NPP Unit No. 3 & 4","Electricity Generation",2000,"MW","India",NA,0,NA,NA,8760,0.925,NA,"EIA",0,16.206
"117",148,"Indonesia","Hydro","Kumbih III hydro power plant","Electricity Generation",45,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.379249666,3.72e-17,"WRI",0,0.1495002183372
"118",15,"Argentina","Wind","La Castellana Wind Farm","Electricity generation",99,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.393675989,5.29e-17,"WRI",0,0.34141156470036
"119",19,"Bolivia","Geothermal","Laguna Colorada Geothermal Plant","Electricity Generation",100,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.732,NA,"EIA",0,0.641232
"120",23,"Brazil","Hydro","Lajari Small Hydro Power Plant","Electricity generation",25,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.434825487,4.27e-17,"WRI",0,0.095226781653
"121",135,"India","Solar","Lightsource Solar PV (Maharashtra)","Electricity generation",12,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.02328839696304
"122",39,"Cameroon","Hydro","Lom Pangar Power Plant","Electricity Generation",30,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.91802414,0,"WRI",0,0.241256743992
"123",50,"China","Solar","Longan County Zhendong 100MW Solar Power Plant Phase I","Electricity generation",50,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.084972
"124",202,"Nigeria","Hydro","Mambilla Hydroelectric Plant","Electricity Generation",3050,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.321196828,0,"WRI",0,8.581736850504
"125",6,"Argentina","Hydro","Manantiales Behr Wind Power Plant 100 MW","Electricity Generation",100,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.472022821,4.27e-17,"WRI",0,0.413491991196
"126",225,"Sri Lanka","Wind","Mannar Wind Farm Phase I","Electricity Generation",100,"MW","South Asia",NA,0,NA,NA,8760,0.240699444,2.04e-17,"WRI",0,0.210852712944
"127",17,"Bangladesh","Hydro","Matarbari Ultra Super Critical Coal-Fired Power Project (III)","Electricity Generation",1200,"MW","South Asia",NA,0,NA,NA,8760,0.291840381,NA,"WRI",0,3.067826085072
"128",38,"Cameroon","Hydro","Memve'ele Hydroelectric Power Plant (200MW) Additional Facility 2017","Electricity Generation",200,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.91802414,0,"WRI",0,1.60837829328
"129",171,"Malaysia","Solar","Merchang, Jasin and Gurun  Solar Farms","Electricity generation",197,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.33873519,1.96e-17,"WRI",0,0.5845620920868
"130",111,"Georgia","Hydro","Mestiachala 1 & 2 HEPPs","Electricity generation",40.27,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.368592244,3.51e-17,"WRI",0,0.130026516673109
"131",195,"Mozambique","Solar","Mocuba Solar PV Plant","Electricity generation",50,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"132",147,"Indonesia","Geothermal","Muara Laboh Geothermal Power Plant","Electricity generation",80,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.853867668,9.79e-17,"WRI",0,0.5983904617344
"133",167,"Lao PDR","Hydro","Nam Ngum 1 Dam Expansion Project","Electricity Generation",80,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.301344
"134",166,"Lao PDR","Hydro","Nam Theun I","Electricity generation",650,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.43,NA,"EIA",0,2.44842
"135",193,"Morocco","Solar","Noor PV I Solar Trio","Electricity generation",177,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.2480832
"136",228,"Tajikistan","Hydro","Nurek Hydropower Rehabilitation Project, Phase I","Electricity Generation",3000,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.389741383,4.2e-17,"WRI",0,10.24240354524
"137",199,"Nepal","Hydro","Nyadi Hydropower Plant","Electricity generation",50,"MW","South Asia",NA,0,NA,NA,8760,0.775220444,1.06e-16,"WRI",0,0.339546554472
"138",162,"Kenya","Geothermal","Olkaria Geothermal Power Extension","Electricity Generation",61,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.614530722,9.93e-17,"WRI",0,0.32838063660792
"139",164,"Kenya","Geothermal","Olkaria I Unit 6 ","Electricity Generation",70,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.614530722,9.93e-17,"WRI",0,0.3768302387304
"140",163,"Kenya","Geothermal","Olkaria V Geothermal Power Development Project","Electricity Generation",140,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.614530722,9.93e-17,"WRI",0,0.7536604774608
"141",182,"Mexico","Solar","Orejana and Santa Maria Solar Parks","Electricity generation",337,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.15,0,"NREL",0,0.442818
