Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
Guilin-Liucheng Expressway,PPI,Transport,Roads,N/A,"On October 29, construction of the Guilin-Liucheng Expressway commenced in Guangxi Zhuang Autonomous Region under a Build Operate Transfer model. The developer was a local private company Xibuzhongda Construction Group, which won the contract through open bidding. The total investment was US$ 1.776 billion (RMB 12 billion) and Xiobuzhongda had a 100% stake in it. The total length was 94.556 km. The concession term was not reported.",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,State/Provincial,,94.556,KM,0,100,1776,0,,,Not Available,,Not Applicable,Xibuzhongda Construction Group (Not Available / 100% / ..),Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Belo Monte Transmissora de Energia,PPI,Energy,Electricity transmission,Not Applicable,"In February 2014, Consorcio IE Belo Monte, a partnership of the Brazilian state-owned companies Furnas (24.5%) and Eletronorte (24.5%) and the Chinese company State Grid (51%), was awarded the contract to build and operate the 2092-km transmission line Xingu - Estreito C-1 PA/MG (800 kV) running through the Brazilian states of Para, Tocantins, Goias e Minas Gerais. 

Besides Consorcio IE Belo Monte, two other companies took part in the bidding process: Abengoa Construcao Brasil LTDA and Consorcio BMTE (Taesa and Alupar). Belo Monte Transmissora offered the lowest guaranteed revenue of US$ 184.9 million or BRL 434.6 million (38% below the ceiling established by the regulatory agency ANEEL).
In June 2014, the sponsors signed a 30-year concession contract with ANEEL. The special purpose company Belo Monte Transmissora de Energia SPE S.A. was established to lead the project.

The total investment was estimated at US$ 1762.1 million (BRL 5.6 billion). In June 2016, the sponsor was granted a US$ 335.4 million (BRL1.12 billion) financing package: a 6-month bridge loan was closed with Banco Itau BBA SA (BRL 203 million), a 6-month bridge loan was closed with Banco Santander SA (BRL 200 million) and a 1-year bridge guarantee was provided by BNDES (BRL 708 million). In March 2017, the sponsor was granted a long-term financing package of US$ 805.5 million (BRL 2.56 billion) from BNDES. The remaining cost was set to be equity financed.

The construction works started in May 2015, and the commercial operations were expected to commence in February 2018.

The sponsors were granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.",Latin America and the Caribbean,Upper middle income,,Brazil,,,,Greenfield,National,,2092,KM,49,51,898.671,581.859,,,Not Applicable,,Not Applicable,State Grid Corporation of China (SGCC) ($316.8 / 51% / ..),316.812,BNDES (Public / Local / $1140.9),581.859,,0,0,0,0,581.859,0,581.859,1.80E+12,207652865,2.62E+12,2.06E+12
ACWA Benban Solar PV II,PPI,Energy,Electricity generation,"Solar, PV","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 20 MW. This is the second of the total 3 plants Acwa is building in Benban. ACWA Benban Solar PV II is undertaking the project on behalf of the sponsors. 
Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $29.4 million and is being financed with debt and equity, $22 million and $7.4 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,10,MW,0,100,29.4,22,,,Not Applicable,,Not Applicable,"Shenzhen CLOU Electronics Co., Ltd. (Not Available / 100% / ..)",7.4,"Industrial & Commercial Bank of China (ICBC) (Public / International / $11), 

EBRD (Multilateral / International / $11)",11,,0,11,0,0,11,22,0,3.33E+11,95688681,2.36E+11,2.35E+11
ACWA Benban Solar PV III,PPI,Energy,Electricity generation,"Solar, PV","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 50 MW. This is the third plant of the ACWA Benban portfolio. ACWA Benban Solar PV III is undertaking the project on behalf of the sponsors. 

Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $80.8 million and is being financed with debt and equity, $60.6 million and $20.2 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,80,MW,0,100,80.8,60.6,,,Not Applicable,,Not Applicable,"Canadian Solar Inc. ($10.15 / 51% / ..), 

Avaada Power ($9.75 / 49% / ..)",20.2,"Industrial & Commercial Bank of China (ICBC) (Public / International / $30.3), 

EBRD (Multilateral / International / $30.3)",30.3,,0,30.3,0,0,30.3,60.6,0,3.33E+11,95688681,2.36E+11,2.35E+11
Pengerang Terminal Phase II,PPI,Transport,Ports,N/A,"The Pengerang Terminal Phase Two project involves the development of a dedicated 1.65 million m3 onshore handling and distribution terminal for the handling of petroleum and petrochemical feedstock and products for and from the Pengerang Integrated Complex (“PIC”) at Pengerang, Johor, Malaysia (""Project""). The construction of PT2SB started in early 2015 and is scheduled for commissioning in various phases during the first half of 2019.

The project is underpinned by a 25 years Anchor Terminal Usage Agreement with PRPC Refinery and Cracker Sdn Bhd (“PRPC RC”), a wholly owned subsidiary of PETRONAS.

PT2SB, a joint venture between Petroliam Nasional Berhad (PETRONAS) (40%), Dialog Group Berhad (Dialog) (25%), The state of Johor (SSI) (10%) and Royal Vopak (25%).

This industrial terminal will predominantly serve the world scale PETRONAS Refinery and Petrochemicals Integrated Development project (RAPID) as its main customer. PT2SB will have an initial storage capacity of 1.65 million cubic meters for crude, refined products, petrochemical products and Liquefied Petroleum Gas (LPG). The marine infrastructure includes 12 berths.The draft of 24 meters can also accommodate very large crude carriers.

The project costs are estimated around  $1.6 billion, of which approximately 20% will be funded with equity contributions by the shareholders and approximately 80% is provided in the form of project financing through banking syndicate. The syndicate of banks consists of AmInvestment Bank ($150 million), DBS ($200 million), ING Bank ($100 million), Maybank ($100 million), MUFG ($100 million), Natixis  ($100 million), OCBC ($200 million), SMBC ($200 million), and UOB ($100 million). These banks all acted as Mandated Lead Arrangers.
The remaining cost will be covered by equity contribution according to respective percentage of ownership. Total equity amounts to $293 million. 

The financing facilities will have a final maturity of 15 years with a repayment schedule which starts after commissioning. The financing is initially based on variable interest rates and PT2SB will enter into financial hedge instruments to materially reduce the potential interest exposure.
Financial close occurred on December 11, 2017.",East Asia and Pacific,Upper middle income,,Malaysia,,,,Greenfield,National,,1650,Cubic meters per day (in thousands),50,50,771.5,625,,,Not Applicable,,Not Applicable,"Dialog Group Berhad ($73.25 / 25% / ..), 

Royal Vopak NV ($73.25 / 25% / ..)",146.5,"Other AmInvestment Bank (Commercial / Local / $150), 

ING (Commercial / International / $100), 

DBS Bank (Commercial / International / $200), 

Natixis (Commercial / International / $100), 

Mitsubishi UFJ Financial (Commercial / International / $100), 

SMBC (Commercial / International / $200), 

OCBC Bank (Commercial / International / $200), 

Malayan Banking (Maybank) (Commercial / Local / $100), 

United Overseas Bank (UOB) (Commercial / International / $100)",0,,625,0,0,0,0,500,125,2.97E+11,31187265,2.98E+11,3.15E+11
Viettel 4G Network,PPI,Information and communications technology (ICT),ICT backbone,N/A,"The project entails a network of 5,000 base stations to be installed in Myanmar. Viettel, the Vietnamese military-owned telecommunications operator, will spend $1.5 billion to roll out a 4G network on the 900-MHz and 2100-MHz frequency bands.

The project is owned by Myanmar National Tele - a joint venture of Viettel (49%), Myanmar's military-affiliated Star High and 11 domestic communications-related companies,  who will take a 51% stake in the joint venture. It was granted a 15-year mobile phone business license in January, becoming Myanmar's fourth telecom company.

After completing the initial 5,000 stations, Myanmar National Tele intends to add more to bring the total to 10,000 as early as 2020, extending coverage to more than 90% of the domestic population.",East Asia and Pacific,Lower middle income,,Myanmar,,,,Greenfield,National,,Not Available,Other,28,72,1080,Not Available,,,Not Available,,Not Applicable,"Viettel Telecom (Not Available / 49% / ..), 

Others (Not Available / 51% / ..)",Not Available,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63225097051,52885223,59977326086,69322122756
Moscow Central Ring Road Section 3,PPI,Transport,Roads,N/A,"CRR Section 3 passes across the north-west of Moscow Region from intersection with M-11 Moscow — Saint Petersburg Expressway under construction to the intersection with M-7 Volga Motorway. The total length of section 3 is 105.3 km.

Eurasian Bank acquired 25 per cent in the project company ASK, thus the original concessionaire Avtoban remained with 75 per cent.
Concession was awarded following a competitive bidding process, in which 5 bidders participated. The criteria was lowest capital subsidy and availability payments to the concessionaire. The government will guarantee the availability payments to the concessionaire. The project is being implemented as a brownfield, BOT model for a period of 30 years.

The construction is financed using the federal budget subsides, funds of the National Welfare Fund of Russia and extra-budgetary sources of financing. The project is estimated to require approximately RUB 80 billion ($1373 million). The state funding (capital subsidy) amounts to nearly RUB 43 billion ($737.1 million) and represents 54 per cent of the total funding. Hence, private capital in the project will represent 46 per cent of the total investment. In March 2017, the SPV secured debt financing with Gazprombank totaling $610.2 (RUB 35.6 billion or 44 per cent of total cost). The remaining $25.7 million  funding is being provided by the sponsors - Avtoban $19.3 million, and Gazprom $6.4 million. The project is expected to be completed within 36 months.",Europe and Central Asia,Upper middle income,,Russian Federation,,,,Brownfield,National,,105.3,KM,54,46,631.58,280.692,,,Not Applicable,,Not Applicable,"Avtoban ($19.3 / 75% / ..), 

Eurasia Investment Holdings ($6.4 / 25% / ..)",11.822,Other Gazprombank (Commercial / International / $610.2),0,,280.692,0,0,0,0,280.692,0,1.28E+12,144342396,2.05E+12,1.58E+12
Ado Popinhaki Small Hydro Power Plant,PPI,Energy,Electricity generation,"Hydro, Small (<50MW)","In June 2014, the Brazilian company Companhia Energetica Canoas (CEC), a partnership of Ritmo Energia (57%), Pattac Empreendimentos e Participacoes (19%), Servinoga SL (19%) and a small local investor (5%), was granted the 35-year contract to build and operate the Ado Popinhak Small Hydro Power Plant (19.3 MW), located at the municipality of Curitibanos, state of Santa Catarina (Canoas River). The power plant was named PCH Ado Popinhak.

In December 2013, the company had been granted power purchase agreements to sell electricity to distribution companies starting in 2018. The company presented a winning bid of US$ 57.7/MWh (BRL 135,9/MWh).

The investment committed to the power plant was estimated at US$ 28.7 million (BRL 99 million). In 2014, PCH Ado Popinhak was awarded an environmental license to commence the constructions. Construction works commenced in May 2016 and were in its final stages as of June 2017. Financial closure was achieved in March 2017, when a US$ 18.9 million (BRL 60 million) 1-year-6-month term loan was provided by the Brazilian bank Itau. The remaining cost was equity financed.

The company was granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.",Latin America and the Caribbean,Upper middle income,,Brazil,,,,Greenfield,National,,20,MW,0,100,28.7,18.9,,,Not Applicable,,Not Applicable,Qingdao Changshengridian Solar Power Technology Company Limited (Not Available / 100% / ..),9.8,Itau Unibanco (Commercial / Local / $18.9),0,,18.9,0,0,0,0,0,18.9,1.80E+12,207652865,2.62E+12,2.06E+12
AES El Salvador Solar Portfolio,PPI,Energy,Electricity generation,"Solar, PV","AES El Salvador and Central-American company Corporacion Multi Inversiones (CMI) are partnering up to develop a 100-MW solar project in El Savador. The project will be developed in the municipalities of Pasaquina, La Unión and El Carmen, in the department of La Union. The installations are expected to start operations in March, May and July 2018, respectively. The 100 MW project will be built by Spanish company Isotron, while the installation will be operated by AES Soluciones.

The site will be developed in three phases — with a total investment of US$160 million dollars. Bosporus I projects will have a generation capacity of 3 x 10 MW. The second phase, Bosporus II, will generate 40 MW of energy, while Bosporus III will have a total generation capacity of 30 MW. These projects will be built over a period of two years.
The contract for development of the plants was granted following a competitive bidding process based on lowest tariff per unit of energy. The plants will benefit from 20-year PPA with local distribution companies. 

Out of the total investment of $160 million, $112 million will be provided by multinational DFIs, including OPIC which provides $29.5 million. FinnFund provided $15 million, and the remaining debt financing was provided by the Central American Bank for Economic Integration (CABEI) and the Netherlands Development Finance Company (FMO). Financial closure occurred on September 12th, 2017.",Latin America and the Caribbean,Lower middle income,,El Salvador,,,,Greenfield,National,,100,MW,0,100,160,112,,,Not Applicable,,Not Applicable,"AES Corporation ($24 / 50% / ..), 

CMI ($24 / 50% / ..)",48,"OPIC (Bilateral / International / $29.5), 

Finnish Fund for Industrial Corporation (Finnfund) (Bilateral / International / $15), 

CABEI/BCIE (Multilateral / International / $33.75), 

FMO (Bilateral / International / $33.75)",78.25,,0,33.75,78.25,0,0,112,0,26797470000,6344722,20283783700,24805439600
Siem Reap Angkor International Airport,PPI,Transport,Airports,N/A,"The project entails the construction of the new Siem Reap Angkor International Airport which would replace the existing Siem Reap Airport operated by Vinci in Cambodia, under a 55-year BOT concession. The project is expected to be completed in 3 years. The project is part of a growing air transport network between Europe and China along the New Silk Road as part of the One Belt One Road - OBOR Initiative. Concession awarder is the Government of Cambodia. Sponsor is Yunnan Investment Holdings (Chinese state - owned company). 

Total investment is estimated at $1 billion. Financing comprises $880 million credit facility provided by the Government of Cambodia with the remaining expected to be provided by sponsor - $120 million in equity. Financial close occurred on 18 August 2017.",East Asia and Pacific,Lower middle income,,Cambodia,,,,Greenfield,National,,Not Available,Other,0,100,1000,880,,,Not Applicable,,Not Applicable,Yunnan Investment Holdings ($120 / 100% / ..),120,Other Government of Cambodia (Public / International / $880),880,,0,0,0,0,880,0,880,20016747754,15762370,12829541141,22158209503
North Marmara Motorway Remaining Sections,PPI,Transport,Roads,N/A,"The project envisages the development of North Marmara Motorway Remaining Sections with a total length of 282 km. Marmara Otoyol Insaati Adi Ortakligi Tic. Isl., project company, will implement the project on behalf of the consortium  sponsoring the project  -  IC Ictas - Astaldi.

The concession agreement was awarded following a competitive bidding process based on the shortest concessional period required. The IC Ictas - Astaldi consortium offered 7 years and 9 months. Astaldi holds 33% and IC Ictas the remaining 67% in the consortium.
As a BOT project, the sponsors will transfer the ownership of the assets to the government at the end of the concession.

The investors are deemed to recoup their investments via availability payments by the government. 

Financial closure occurred on February 23rd, 2017. Six lenders, namely Garanti bankasi (nearly 5%), Turkiye Is bankasi (4%),Finansbank (4%), Ziraat bankasi (slightly over 5% of total debt), Halkbank (slightly over 5% of total debt) and Vakif Bank (2%)  provided the debt financing amounting to $655.8 million, with the sponsors contributing the remaining $336 million. Thus, total investment is $991.88 million.",Europe and Central Asia,Upper middle income,,Turkey,,,,Greenfield,National,,282,KM,0,100,991.88,655.83,,,Not Applicable,,Not Applicable,"Astaldi SpA ($110.9 / 33% / ..), 

IC Holding ($225.1 / 67% / ..)",336.05,"Garanti Bankasi (Commercial / Local / $30.45), 

Turkiye Is Bankasi (Commercial / Local / $27.68), 

Other Finansbank (Commercial / Local / $27.68), 

Ziraat Bankasi (Commercial / Local / $34.6), 

Other Halkbank (Commercial / Local / $34.6), 

Vakif Bank (Commercial / Local / $13.15)",0,,168.16,0,0,0,0,0,168.16,8.64E+11,79512426,8.33E+11,8.51E+11
