"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"11","Alcazar Energy Solar Plant","The project entails the construction, development and operation of a 50 MW solar PV plant within Egypt’s New and Renewable Energy Agency (NREA)’s 37.5 km2 Benban 1.8 GW PV solar park comprising 39 separate PV plots near Benban village, close to Aswan city, in the Aswan Governorate of Upper Egypt.  ALCAZAR ENERGY EGYPT SOLAR 1 SAE is the project company that will undertake the project development and is sponsored at 99.9% by Alcazar Energy, and 0.01% by Enerpal. 

IB Vogt will undertake the EPC contract and O&M of the plant. 
This is a greenfield project initiated under a BOO modality. The project company was awarded the contract on a license scheme with a predetermined tariff rate. The state-owned Egyptian Electricity and Transmission Company will offtake power from  the project under 25-year PPA. 

Required investment for the plant is estimated at $68.7 million and is being funded via 76:24 debt to equity. Lenders are IFC with $14.25 million from its own account and syndicated $38.25 million. The Asia Infrastructure Investment Bank will lend $13.25 million, AfDB will provide $13 million and CDC- $12 million. Financing closed on October 29, 2017.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"12","Alfa Solar Binban Plant","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output is 50 MW.
Al Fanar is developing the project under a BOO modality. 

The project is being developed within the country's feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the projects under 25-year power purchase agreements. 
The required investment is estimated at $74 million and is being funded via debt and equity - $57 million and $17 million, respectively. Project finance closed on October 31st, 2017.  EBRD and Islamic Corporation for the Development of the Private Sector (ICD) will provide USD28.5 million each.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"13","Alibunar Wind Farm","The project entails the development of a 42-MW Wind farm near Vladimirovac village,  Alibunar municipality, in the South Banat District, Vojvodina province. The Alibunar Wind Farm will consist of 21 wind turbines, each with a nominal power of 2.0 MW. 

Electrawinds-s d.o.o. Beograd (Novi Beograd) is the project company that will implement the project on behalf of the sponsor - 	Elicio NV. This is a new, greenfield project and is one of the first private renewable projects in Serbia.

The company has a contract signed with the transmission operator JP Elektromreža Srbije for the evacuation of the electricity to the grid.
Total investment is estimated at around $90 million.Financial closure was reported my legal advisers as on June 28, 2017. IFC provided the EUR59.7 million ($67.7 million)  debt package, which has a maturity of 12.5 years.","Electricity generation","Wind","Serbia","98.7","MW","Europe and Central Asia"
"14","Amistad Wind Farm","The project entails the development and operation of a 200 MW wind park located in state of Coahuila, 45 kilometers north of Acuna city. Amistad Wind farm will be made up of 57 wind turbines, spread along the border between Mexico and the United States.
Commercial Operation Date (COD) is set for 1 July 2018. Once complete, the wind farm should be able to produce up to 750 GWh of electricity each year, enough to supply around 450,000 Mexican homes, and offset over 435,000 tons of carbon dioxide (CO2) emissions. 

The construction of the new facility is supported by a 20-year power purchase agreement (PPA) which was awarded to Enel following a public tender offering based on lowest tariff per unit of energy. 

Total investment is estimated at $300 million. Debt and equity details are currently not available.","Electricity generation","Wind","Mexico","200","MW","Latin America and the Caribbean"
"15","Anhui floating Solar Plant","The project entails the construction, finance and operation of a new Anhui floating solar plant. The facility is with a total capacity of 150 MW. The project is located in Anhui province, China. The installation’s developer and owner is Three Gorges New Energy Co. The company covers the whole cost of the project, equal to $151 million. The new solar farms are part of the global shift away from energy generated from fossil fuels. Construction start is on July 1, 2017.
","Electricity Generation","Solar","China","150","MW","East Asia and Pacific"
"16","ARC Benban Solar Plant","This project represents a greenfield investment in a 50 MW solar PV plant, located in Aswan Governorate of Upper Egypt. ARC for Renewable Energy SAE (ARC) is the project company leading the project.

Maccaferri Industrial Group and Desert Technologies are sponsoring the project, each holding a stake of 50% in the company.  The venture is undertaken on a BOO basis with a predetermined tariff rate. The Egyptian Electricity and Transmission Company will offtake all electricity from the project under 25-year power purchase agreement.

The plant costs $74 million. The IFC is providing $16.7 million and syndicating a further $43.5 million. The balance will be covered by equity. Lenders are Europe Arab Bank, Green for Growth Fund,  Asian Infrastructure Investment Bank and CDC Group. Financial close occurred on 29 October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"17","Arinna Benban Solar Plant","The project entails the construction, development and operation of a solar farm near Benban,  Aswan Governorate of Upper Egypt. The total capacity is 20 MW.

ARINNA SOLAR POWER S.A.E is the project company which will undertake the project on behalf of the sponsors. The project is majority owned (51%) by Albilal Group, 	Maccaferri Industrial Group at 25%, Desert Technologies at 15% and two other small investors each holding 4.5% - 	Croton Harmon and 	Texas Constructors International.

This is a greenfield project initiated on a BOO modality.  
The Egyptian Electricity and Transmission Company will offtake all electricity from the project under 25-year power purchase agreements.

Investment in the farm was estimated at $28.8 million, being funded via debt and equity - $23.45 million and $5.35 million, respectively. IFC provided $7.85 million from its own account and syndicated the remaining $15.6 million to Europe Arab Bank ($6 million), CDC Group ($3.6 million) and Asian Infrastructure Investment Bank ($6 million). Project financing closed on October 29th, 2017. The remaining was equity financed ($5.35 million)","Electricity generation","Solar","Egypt, Arab Rep.","30","MW","Middle East and North Africa"
"18","Aten Solar PV Plant","The project entails the construction, development and operation of a 50 MW solar PV plant within Egypt’s New and Renewable Energy Agency (NREA)’s 37.5 km2 Benban 1.8 GW PV solar park comprising 39 separate PV plots near Benban village, close to Aswan city, in the Aswan Governorate of Upper Egypt.  Aten Solar Energy SAE is the project company that will undertake the project development and is owned almost entirely (99.9%) by Alcazar Energy Partners Limited (Alcazar) and by Samcrete Egypt Engineers & Contractors S.A.E. (0.1% ).

The EPC contract will be conducted by a joint venture of TSK and Environmena. 

This is a greenfield project initiated under a BOO modality. The project company was awarded the contract on a license scheme with a predetermined tariff rate. The state-owned Egyptian Electricity and Transmission Company will offtake power from  the project under 25-year PPA.

Required investment for the plant is estimated at $68.7 million and is being funded via debt and equity as 76:24. Loans were provided by IFC ($19.25 million) from its own account and further syndicated $33.25 million to CDC Group ($18.25 million), Finnfund ($6 million), and Arab Bank Group ($9 million).
Financing closed on October 29th, 2017. OeEB was reported to take $5 million debt in the project in November 2017, acquiring $2.5 million each from IFC and CDC.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"19","Attarat Oil Shale-Fired Power Plant","This projects involves the set up of a 470-MW (net) oil shale - fired power plant in Attarat um Ghudran,  approximately 100 km southeast of Amman.

Attarat Power Company (APCO) is the project company undertaking the development and is owned by Eesti Energia (10%), YTL Power International Berhad (45%) and Yudean (45%).

This is a greenfield project initiated under a BOO modality. Jordan's National Electric Power Company (Nepco) will purchase power from the plant under a 30-year power purchase agreement. 

Financing comprises 75 per cent debt and 25 per cent equity funds. Lenders to the projects are reported to be Bank of China, Industrial & Commercial Bank of China (ICBC),  China construction bank and EX - IM Bank of China. Loan split is not disclosed. The financing is covered by an export credit insurance provided by China Export & Credit Insurance Corporation, also known as Sinosure. 

The construction of the 554MW gross/470MW net oil shale-fired mine mouth power station will begin shortly, while the power station's construction is scheduled to start in mid-2020.","Electricity generation","Oil","Jordan","470","MW","Middle East and North Africa"
"20","Ayanunga hydro plant","The project entails the development of a run-of-river hydropower plant with installed capacity of 20 MW. Once completed the plant will be able to generate over 130 GWh per year, equivalent to the annual consumption needs of over 105,000 Peruvian households. Enel, through its renewable energy subsidiary Enel Green Power Peru (EGPP), will build the Ayanunga hydro plant, located in the Monzón district in the Peruvian region of Huánuco.

The project is supported by a 20-year energy supply contract signed with Peru’s Ministry of Energy and Mines that was won in 2016 as par of a competitive bidding process based on lowest tariff (fourth public renewable energy tender launched by the Peruvian energy regulator OSINERGMIN.)

Enel will be investing around $50 million in the construction of Ayanunga plant. Financing details are currently not available, but most likely Enel will fund the project with its own resources. Ayanunga is expected to enter into service by the end of 2018.","Electricity generation","Hydro","Peru","12","MW","Latin America and the Caribbean"
"21","Baihetan hydropower station","The project entails the construction, financing and operation of Baihetan hydropower station, located on the lower reaches of the Jinsha River, between the borders of Sichuan and Yunnan provinces in Southwest China. The capacity of the facility is 16 GW. The project is being developed by China Three Gorges Corporation (CTG), a Chinese state-owned company. The project cost is estimated at $24,5 billion The station is located in Anji County, Zhejiang province, between the cities of Tianhuangping and Shanchuan. The project’s main structures consist of the dam, flood discharge structures, water diversion and power generation facilities. The underground powerhouse is planned to contain 16 generating units at 1,000 MW each and have an average annual power output of 60.24 TWh. The first group of units are expected to begin operating in 2021. The initiative should be fully-commissioned by the end of 2022. Financial close took place on August 3, 2017.","Electricity Generation","Hydro","China","16000","MW","East Asia and Pacific"
"22","Bandel, Kolaghat & Bakreswar rooftop power units","The project entails the construction, financing and operation of a solar photovoltaic (Rooftop) power unit at Bandel, Kolaghat and Bakreswar, situated in West Bengal. The capacity of the plant unit is 10MW. The total investmens is estimated at $10.7 million. West Bengal Power Development Corporation Limited (WBPDCL) is in charge of the project whose date of award is March 21, 2017 and date of completion is December 31, 2017. The main contractor is Vikram Solar Private Limited.","Electricity Generation","Solar","India","10","MW","South Asia"
"23","Bangweulu Solar PV Plant","The project envisages the construction and operation of a 47.5-MW (net) (55 MWp) solar PV plant in Lusaka South Multi-Facility Economic Zone. The special purpose vehicle Bangweulu Power Company Ltd is created to develop the plant on behalf of the sponsors  - Neoen S.A.S. (55%), First Solar Inc. (25%) and Industrial Development Corporation, an investment company owned by the Government of the Republic of Zambia (20%).
The project company won the project in a tender in June 2016, the first for the country under the Scaling Solar program, offering to sell power at just  $0.06015 per kWh for 25 years. The contest was conducted by the Industrial Development Corporation of Zambia (IDC). Scaling Solar helps governments to quickly contract large-scale solar capacity with private financing.

Total investment is estimated at $59 million and is funded through debt and equity, 68:32 ration. The debt package is provided by International Finance Corporation and the Overseas Private Investment Corporation of the United States (OPIC).  The IFC investment comprises a $13.3 million  A-Loan and an IFC-Canada Climate Change Program senior loan of $13.3 million. The Overseas Private Investment Corporation of the United States (OPIC) is providing the remaining $13.3 million of the debt. The IDA guarantee for the project comprises a partial off taker payment guarantee of up to $4 million. IFC also provided an interest rate swap on the deal.

Financing closed in mid-December 2017.","Electricity generation","Solar","Zambia","9","MW","Sub-Saharan Africa"
"24","Baoji City Chencang District Longxing 50MW Solar Power Plant","On February 10, 2017, construction of a 50MW solar power plant commenced in Chencang District, Baoji City, Shaanxi Province. The sponsor of this Build Operate Transfer project was a local private company Baoji Longxing Clean Energy Company Limited. The total investment was US$ 68.37 million (RMB 470 million) and Baoji Longxing had a 100% stake in the project. The power plant had a capacity of 50MW. Other particulars of the project were not reported.","Electricity generation","Solar","China","70","MW","East Asia and Pacific"
"25","Baynouna Solar PV Plant","The Project involves the development, financing, construction, operation and maintenance of a green field 200 MW solar photovoltaic plant  located in the Tilal Al-Rukban area in Muwaqqar district in the Amman governorate, about 30 km north of the Jordanian capital Amman. The Project is being developed by Abu Dhabi Future Energy Company PJSC (Masdar). Masdar is wholly owned by Mubadala Investment Company (Mubadala), an investment arm of GoAD.

BAYNOUNA SOLAR ENERGY COMPANY is the special purpose vehicle that will undertake the project on behalf of the sponsor. 

The generated electricity will be sold to the Jordanian National Electric Power Company (NEPCO) under a 20-year Power Purchase Agreement. The Masdar project was not allocated through a tender process as with other large-scale projects. It was a direct allocation under no competitive mechanism.

The total project cost is estimated at $280 million and is funded through debt and equity in 67:33 ratio. Funding was arranged by the International Finance Corporation (IFC). The financing package includes a $54 million loan from the IFC and $134 million from other senior lenders, including a parallel loan from Japan International Cooperation Agency (JICA). The other lenders are: Dutch Development bank FMO and Europe Arab Bank as well as the OPEC Fund for International Development (OFID) and German development bank DEG. The remaining cost is covered by equity - $92 million.

Financial closure occurred on December 13, 2017.","Electricity generation","Solar","Jordan","200","MW","Middle East and North Africa"
"26","Bhadla Solar park","The project entails  the development of a solar farm with a capacity of 2 x 70-MW in Bhadla, Jodhpur district, Rajasthan.  The said project is part of the Phase-II, Batch-II, Tranche-I of State Specific Bundling Scheme issued by the Ministry of New & Renewable Energy (MNRE). In this round, 420 MW of capacity was allocated among 4 bidders (6 x 70 MW). Solaire Surya Urja Pvt.  is the project company which will implement the project on behalf of  Solairedirect S.A. 

The company has entered into long term Power Purchase Agreements (PPA) with NTPC to sell the power at a fixed tariff of Rs.4.35/kWh for duration of 25 years. 

Financial closure was achieved on June 5th, 2017 after scuring debt funding with IDFC in February the same year. Project is funded via 70:30 debt to equity. IDFC provided $104.8 million (675 crore) with the remaining coming from equity contributions - $44.9 million. Total investment amounts to $149.7 million.","Electricity generation","Solar","India","140","MW","South Asia"
"27","BJL11 Solar Power Plant","The Turkish group Eren Renewable Energy SA was granted the authorization to build a solar power plant located in the state of Bahia, municipality of Bom Jesus da Lapa (20 MW in total capacity). The 35-year contract was signed with the regulatory agency ANEEL in April 2016. The company Eren Renewable Energy SA created the special purpose company BJL11 Solar S.A. to manage the project:

The total investment in the power plant was estimated at US$ 24.9 million (BRL 79 million). Construction works commenced in March2017 and were expected to be concluded by October 2017. As of June 2017, construction works were nearly completed. No detailed financing information was available.

The government periodically runs public biddings for the sale of energy to the country´s distribution companies. BJL11 Solar S.A. won the public bidding that took place in August 2015. The tariff offered in the auction was US$ 129.8/MWh (BRL 303.5/MWh). 

The company was granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.","Electricity generation","Solar","Brazil","20","MW","Latin America and the Caribbean"
"28","Borinquen I Geothermal Project","Through the project, ICE will construct a geothermal power plant in the Borinquen district of Guanacaste Province in the northwest part of Costa Rica, strengthening the power supply with renewable energy to mitigate the effects of climate change, with the objective of contributing to sustainable development in Costa Rica. The project is located 10km northwest of the geothermic field Las Pailas. The total capacity of the facility is 55 MW. The sponsor is Instituto Costarricense de Electricidad (ICE) while the finance of $240 million is provided by Japan International Cooperation Agency (JICA). Contract was awarded on June 20, 2017.","Electricity Generation","Geothermal","Costa Rica","55","MW","Latin America and the Caribbean"
"29","Boulenouar Wind Power Plant","The aim of the project is the construction, finance and operation of a large-scale wind farm of 100 MW installed capacity located in Boulenouar, Mauritia. The total capacity of the facility is 100 MW. The sponsor is Government of Mauritia while the finance of the project is secured by OPEC Fund for International Development ($18.8 million) and Arab Fund for Economic and Social Development ($115.8 million). Contract was awarded in January 2017 and works are expected to be completed by November 2017.","Electricity Generation","Wind","Mauritania","100","MW","Sub-Saharan Africa"
"30","Bulgaria hydropower system rehabilitation project","The project entails the rehabilitation of hydropower system capacities in Bulgaria. The initiative is financed with grants (70%) from the Kozloduy International Decommissioning Support Fund (KIDSF) administered by the European Bank for Reconstruction and Development (EBRD) and 30% by NEKThe overall budget of the project is approximately 40.4 million.The project envisages the rehabilitation Chaira Pumped Storage Hydro Power Plant (PSHPP): capacity – 864 MW; Belmeken PSHPP: capacity – 75 MW; Sestrimo hydropower plant (HPP): capacity – 240 MW; Momina Klisura HPP: capacity – 120 MW; Vacha-1 HPP: capacity – 14 MW. Sponsor is ATSIONALNA ELEKTRICHESKA KOMPANIA EAD. Financial close took place on December 1, 2017.","Electricity Generation","Hydro","Bulgaria","1313","MW","Europe and Central Asia"
"31","Bushehr Nuclear Power Plant","The project entails the construction, finance and operation of Bushehr Nuclear Power Plant. It has a total capacity of 2x1050 MW. The sponsor is Atomic Energy Organization of Iran and covers the whole cost of the project, equal to $10 billion. Rosatom was awarded the EPC contract in 2014. The construction was started in October, 2017.","Electricity Generation","Nuclear","Iran, Islamic Rep.","2100","MW","Middle East and North Africa"
"32","Butama Hydroelectric plant","Sindila Hydro is a 5.25 MW run-of-river hydropower project located on the Sindila River in the Bundibugyo district in western Uganda. 

Butama Hydro-Electricity Company Limited is the project company which will undertake the project.

The project benefits from a 20-year power purchase agreement with the Uganda Electricity Transmission Company Limited, supported by an implementation agreement with the Government of Uganda. Sindila has also benefited from the highly respected GETFiT Programme in Uganda, which is partnership between the German development bank, KfW, and the Ugandan Government.

The shareholder consortium is led by Lereko Metier Sustainable Capital (LMSC) (at 87%) and includes the original developer, KMRI LLC USA; WK Power (WK) and Fieldstone Africa Investment Resources (FAIR).  This is a greenfield project launched under a BOO basis.
Financial closure was achieved on 30 January 2017 and construction started shortly after. Overseas Private Investment Corporation provided $13.6 million debt financing with two years grace period and 17.5 years repayment. Total investment is estimated to be around $19.3 million. Given the debt financing provided, sponsors will need to contribute around $5.7 million. This equation gives a 70:30 debt to equity ratio.

The plant is expected to generate electricity in September 2018.","Electricity generation","Hydro","Uganda","3.6","MW","Sub-Saharan Africa"
"33","Caculo Cabaca hydropower","The project entails the construction, financing and operation of a Caculo Cabaca hydroelectric plant in Angola. The capacity of the facility is 2,171-MW. The plant is being built by the China Gezhouba Group Co. Ltd. The main source of financing comes from the Industrial and Commercial Bank in China, which provided the sum of $ 1239.6 million. China Exim Bank provided $ 909.04 million, Bank of China provided $ 619.8 million, China Construction Bank provided $ 619.8 million, China Minsheng Banking provided $ 371.88 million, Ping An Bank provided $ 371.88 million and the government of Angola provided $ $ 400 million for the project. The cost of the project amounts to $ 4.531 billion. Total debt is $ 4.132 billion. Work on Caculo Cabaca is scheduled to take 80 months, during which time China Gezhouba expects to hire as many as 10,000 workers. The work is expected to allow electricity from the Kwanza River to be exported to countries such as Namibia or South Africa as the project is a key part of the phased water resource development projects on the Kwanza river. Construction started on July 8, 2017.","Electricity Generation","Hydro","Angola","2171","MW","Sub-Saharan Africa"
"34","Cameroon Rural Electrification Programme Phase 2","The second phase of Cameroon’s rural electrification programme which will see around 350 communities each provided with off-grid photovoltaic capacity of 32kW. Some 35MW of aggregate capacity is also under development in the country by local utility Eneo. The Bank of China is set to provide $123 million in debt for the programme. Sponsor is Government of Cameroon. Financial close took place on June 14, 2017. The solar facility is expected to come online by 2019.","Electricity Generation","Solar","Cameroon","35","MW","Sub-Saharan Africa"
